nome_salone,cellulare,indirizzo,categoria,sito_web,rating,fonte
TRISCELE Beauty,+393275464407,"Piazza Giovanni Verga, 14, 95129 Catania CT, Italy","beauty_salon, establishment",https://www.triscelebeauty.com/,4.8,google_places
Esthena Nails e Benessere,+393335469382,"Via Umberto I, 156, 95129 Catania CT, Italy","beauty_salon, establishment",,4.7,google_places
Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,"Via delle Viole, 3/5, 95124 Catania CT, Italy","beauty_salon, establishment",http://www.ilsognodellabellezza.it/,5,google_places
Il Sogno di ogni donna | Centro estetico Catania,+393714480449,"Viale Vittorio Veneto, 161/interno P, 95127 Catania CT, Italy","beauty_salon, establishment",https://ilsognodiognidonna.it/,4.6,google_places
Aesthetic beauty boutique 美人阁&容貌管理,+393279408287,"Via Umberto, 128, 95129 Catania CT, Italy","beauty_salon, establishment",,3.4,google_places
Glamour Sole e Bellezza,+393471079312,"Via Gelso Bianco, 95121 Catania CT, Italy","beauty_salon, establishment",https://www.glamoursolebellezza.it/,4.1,google_places
Bioperla - Centro Estetico a Catania,+393395929992,"V.le Alcide De Gasperi, 243, 95126 Catania CT, Italy","beauty_salon, establishment",https://bioperla.it/,5,google_places
Elite Estetica,+393427675185,"Via Principe Nicola, 37, 95127 Catania CT, Italy","beauty_salon, establishment",,4.8,google_places
Om Estetica,+393928407565,"Piazza giuseppe sciuti, 13, 95131 Catania CT, Italy","beauty_salon, establishment",http://www.omestetica.it/,5,google_places
LM Beauty nails,+393713360782,"95124 Catania, Metropolitan city of Catania, Italy","beauty_salon, establishment",,4.4,google_places
MIDA nail care,+393290646988,"Via Stazzone, 167, 95123 Catania CT, Italy","establishment, point_of_interest",http://mymida.it/,4.9,google_places
WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,"Largo Bordighera, 59, 95127 Catania CT, Italy","beauty_salon, establishment",,4.9,google_places
Nail Salon di Ylenia Torrisi,+393932779198,"Via Caronda, 39, 95129 Catania CT, Italy","beauty_salon, establishment",,5,google_places
GV Place - Rinascente,+393312942906,"Via Etnea, 159, 95124 Catania CT, Italy","establishment, hair_care",https://www.giovanniventura.com/,4.5,google_places
Onico N𝒂𝒊𝒍𝒔 beauty Lab,+393791601727,"Via Passo di Aci, 79, 95128 Catania CT, Italy","beauty_salon, establishment",https://www.nicotraesteticastore.com/centro-estetico-oniconails-beauty-lab/,4.4,google_places
VyBi Nails Catania di Viviana Barbagallo,+393270325417,"Via Susanna, 34/36, 95123 Catania CT, Italy","establishment, point_of_interest",http://vybishop.it/,4.6,google_places
Blossom beauty & spa,+393477494303,"Via Umberto I, 344, 95129 Catania CT, Italy","beauty_salon, establishment",https://www.tiktok.com/@blossom.beauty.spa.ct/video/7276774164529188128,4.6,google_places
Coquette Wellness & Beauty - Catania,+393899923613,"Via Vittorio Emanuele Orlando, 144, 95127 Catania CT, Italy","beauty_salon, establishment",https://spa.massage.ivof.com/coquette-wellness-beauty/,4.8,google_places
Centro Valclè Beauty & Pilates,+393477090169,"Via Androne, 5, 95124 Catania CT, Italy","beauty_salon, establishment",http://centrovalclbeautyepilates.it/,4.9,google_places
Just Beauty,+393445480767,"Viale Ruggero di Lauria, 19, 95127 Catania CT, Italy","beauty_salon, establishment",http://bio.site/JustBeauty,5,google_places
Centro Estetico EstèRelax Beauty&Nails,+393711122241,"Via Giovanni Fattori, 7/9, 95125 Catania CT, Italy","beauty_salon, establishment",http://www.esterelax.com/,4.8,google_places
