ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note
FIX001,,,,,2026-06-08 16:32,,,,
FIX002,,,,,2026-06-08 16:32,,,,
FIX003,,,,,2026-06-08 16:32,,,,
FIX004,,,,,2026-06-08 16:32,,,,
FIX005,,,,,2026-06-08 16:32,,,,
FIX006,,,,,2026-06-08 16:32,,,,
FIX007,,,,,2026-06-08 16:32,,,,
FIX008,,,,,2026-06-08 16:32,,,,
FIX009,,,,,2026-06-08 16:32,,,,
FIX010,,,,,2026-06-08 16:32,,,,
FIX011,,,,,2026-06-08 16:32,,,,
FIX012,,,,,2026-06-08 16:32,,,,
FIX013,,,,,2026-06-08 16:32,,,,
FIX014,,,,,2026-06-08 16:32,,,,
FIX015,,,,,2026-06-08 16:32,,,,
FIX016,,,,,2026-06-08 16:32,,,,
FIX017,,,,,2026-06-08 16:32,,,,
FIX018,,,,,2026-06-08 16:32,,,,
FIX019,,,,,2026-06-08 16:32,,,,
FIX020,,,,,2026-06-08 16:32,,,,
FIX021,,,,,2026-06-08 16:32,,,,
FIX022,,,,,2026-06-08 16:32,,,,
FIX023,,,,,2026-06-08 16:32,,,,
FIX024,,,,,2026-06-08 16:32,,,,
FIX025,,,,,2026-06-08 16:32,,,,
FIX026,,,,,2026-06-08 16:32,,,,
FIX027,,,,,2026-06-08 16:32,,,,
FIX028,,,,,2026-06-08 16:32,,,,
FIX029,,,,,2026-06-08 16:32,,,,
FIX030,,,,,2026-06-08 16:32,,,,
REST031,Laser & Beauty,+393451754364,4.9,2026-06-08 16:32,,,,
REST032,Alessia Marino - Beauty & Brows II,+393475669954,4.7,2026-06-08 16:32,,,,
REST033,Venus al Plaza,+393513375075,4.5,2026-06-08 16:32,,,,
REST034,Nails Aesthetic Studio Erika Dei Pieri,+393471086106,5,2026-06-08 16:32,,,,
REST035,CRYSTAL NAILS CATANIA,+393929151219,4.5,2026-06-08 16:32,,,,
REST036,Extension ciglia Catania,+393248882599,5,2026-06-08 16:32,,,,
REST037,Lilium Lashbar Extension Ciglia Catania,+393248882508,5,2026-06-08 16:32,,,,
REST038,Glow up,+393475533962,5,2026-06-08 16:32,,,,
REST039,Care Beauty Nails Catania,+393463000907,5,2026-06-08 16:32,,,,
REST040,Angel Nails Makeup Catania,+393883405218,4.9,2026-06-08 16:32,,,,
REST041,Giulia Nails Bar,+393505929438,4.4,2026-06-08 16:32,,,,
REST042,RV Beauty,+393279165658,4.8,2026-06-08 16:32,,,,
REST043,TRÈS CHIC,+393342040715,4.6,2026-06-08 16:32,,,,
