ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note
MEDIA001,TRISCELE Beauty,+393275464407,4.8,2026-06-08 15:49,,,,,
MEDIA002,Esthena Nails e Benessere,+393335469382,4.7,2026-06-08 15:49,,,,,
MEDIA003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,2026-06-08 15:49,,,,,
MEDIA004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,2026-06-08 15:49,,,,,
MEDIA005,Glamour Sole e Bellezza,+393471079312,4.1,2026-06-08 15:49,,,,,
MEDIA006,Bioperla - Centro Estetico a Catania,+393395929992,5,2026-06-08 15:49,,,,,
MEDIA007,Elite Estetica,+393427675185,4.8,2026-06-08 15:49,,,,,
MEDIA008,Om Estetica,+393928407565,5,2026-06-08 15:49,,,,,
MEDIA009,LM Beauty nails,+393713360782,4.4,2026-06-08 15:49,,,,,
MEDIA010,MIDA nail care,+393290646988,4.9,2026-06-08 15:49,,,,,
MEDIA011,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,4.9,2026-06-08 15:49,,,,,
MEDIA012,Nail Salon di Ylenia Torrisi,+393932779198,5,2026-06-08 15:49,,,,,
MEDIA013,GV Place - Rinascente,+393312942906,4.5,2026-06-08 15:49,,,,,
MEDIA014,Onico N𝒂𝒊𝒍𝒔 beauty Lab,+393791601727,4.4,2026-06-08 15:49,,,,,
MEDIA015,VyBi Nails Catania di Viviana Barbagallo,+393270325417,4.6,2026-06-08 15:49,,,,,
MEDIA016,Blossom beauty & spa,+393477494303,4.6,2026-06-08 15:49,,,,,
MEDIA017,Coquette Wellness & Beauty - Catania,+393899923613,4.8,2026-06-08 15:49,,,,,
MEDIA018,Centro Valclè Beauty & Pilates,+393477090169,4.9,2026-06-08 15:49,,,,,
MEDIA019,Just Beauty,+393445480767,5,2026-06-08 15:49,,,,,
MEDIA020,Centro Estetico EstèRelax Beauty&Nails,+393711122241,4.8,2026-06-08 15:49,,,,,
MEDIA021,Accademia Nicotra Catania,+393922467469,4.9,2026-06-08 15:49,,,,,
MEDIA022,Studio Estetica,+393208165715,4.2,2026-06-08 15:49,,,,,
MEDIA023,Cristina Giuffrida Beauty Salon,+393516808430,4.8,2026-06-08 15:49,,,,,
MEDIA024,Istituto di Bellezza di Santina Frazzetta,+393939349220,4.8,2026-06-08 15:49,,,,,
MEDIA025,Namastè La Bottega Della Bellezza,+393456356305,5,2026-06-08 15:49,,,,,
MEDIA026,Infinity Relax, estetica e benessere,+393938188193,4.6,2026-06-08 15:49,,,,,
MEDIA027,Charme & Relax - Catania,+393468568578,4.7,2026-06-08 15:49,,,,,
MEDIA028,Stella Nails Art,+393755151706,5,2026-06-08 15:49,,,,,
MEDIA029,Ottava Nota Estetica,+393208659625,4.9,2026-06-08 15:49,,,,,
MEDIA030,Vanità,+393493730424,4.8,2026-06-08 15:49,,,,,
