ID Messaggio,Nome Salone,Cellulare,Template,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note
MSG001,TRISCELE Beauty,+393275464407,domanda_direct,2026-06-08 15:10,,,,,
MSG002,Esthena Nails e Benessere,+393335469382,domanda_direct,2026-06-08 15:10,,,,,
MSG003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,domanda_direct,2026-06-08 15:10,,,,,
MSG004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,domanda_direct,2026-06-08 15:10,,,,,
MSG005,Glamour Sole e Bellezza,+393471079312,domanda_direct,2026-06-08 15:10,,,,,
MSG006,Bioperla - Centro Estetico a Catania,+393395929992,domanda_direct,2026-06-08 15:10,,,,,
MSG007,Elite Estetica,+393427675185,domanda_direct,2026-06-08 15:10,,,,,
MSG008,Om Estetica,+393928407565,domanda_direct,2026-06-08 15:10,,,,,
MSG009,LM Beauty nails,+393713360782,domanda_direct,2026-06-08 15:10,,,,,
MSG010,MIDA nail care,+393290646988,domanda_direct,2026-06-08 15:10,,,,,
