ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Note
SINGLE001,TRISCELE Beauty,+393275464407,4.8,2026-06-08 15:46,,,,
SINGLE002,Esthena Nails e Benessere,+393335469382,4.7,2026-06-08 15:46,,,,
SINGLE003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,2026-06-08 15:46,,,,
SINGLE004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,2026-06-08 15:46,,,,
SINGLE005,Glamour Sole e Bellezza,+393471079312,4.1,2026-06-08 15:46,,,,
SINGLE006,Bioperla - Centro Estetico a Catania,+393395929992,5,2026-06-08 15:46,,,,
SINGLE007,Elite Estetica,+393427675185,4.8,2026-06-08 15:46,,,,
SINGLE008,Om Estetica,+393928407565,5,2026-06-08 15:46,,,,
SINGLE009,LM Beauty nails,+393713360782,4.4,2026-06-08 15:46,,,,
SINGLE010,MIDA nail care,+393290646988,4.9,2026-06-08 15:46,,,,
SINGLE011,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,4.9,2026-06-08 15:46,,,,
SINGLE012,Nail Salon di Ylenia Torrisi,+393932779198,5,2026-06-08 15:46,,,,
SINGLE013,GV Place - Rinascente,+393312942906,4.5,2026-06-08 15:46,,,,
SINGLE014,Onico N𝒂𝒊𝒍𝒔 beauty Lab,+393791601727,4.4,2026-06-08 15:46,,,,
SINGLE015,VyBi Nails Catania di Viviana Barbagallo,+393270325417,4.6,2026-06-08 15:46,,,,
SINGLE016,Blossom beauty & spa,+393477494303,4.6,2026-06-08 15:46,,,,
SINGLE017,Coquette Wellness & Beauty - Catania,+393899923613,4.8,2026-06-08 15:46,,,,
SINGLE018,Centro Valclè Beauty & Pilates,+393477090169,4.9,2026-06-08 15:46,,,,
SINGLE019,Just Beauty,+393445480767,5,2026-06-08 15:46,,,,
SINGLE020,Centro Estetico EstèRelax Beauty&Nails,+393711122241,4.8,2026-06-08 15:46,,,,
